"委員会","","ふりがな"
"懲罰特別委員会","04_特別","ちょうばつとくべついいんかい"
"環境・空き家等対策特別委員会","04_特別","かんきょう・あきやなどたいさくとくべついいんかい"
"地方分権・本庁舎整備対策等特別委員会","04_特別","ちほうぶんけん・ほんちょうしゃせいびたいさくなどとくべついいんかい"
"都市整備常任委員会","03_常任","としせいびじょうにんいいんかい"
"予算特別委員会","02_予算/決算","よさんとくべついいんかい"
"定例会","05_その他","ていれいかい"
"清掃・リサイクル対策特別委員会","04_特別","せいそう・りさいくるたいさくとくべついいんかい"
"区民生活常任委員会","03_常任","くみんせいかつじょうにんいいんかい"
"地域行政・災害・防犯・オウム問題対策等特別委員会","04_特別","ちいきぎょうせい・さいがい・ぼうはん・おうむもんだいたいさくなどとくべついいんかい"
"企画総務常任委員会","03_常任","きかくそうむじょうにんいいんかい"
"オウム問題・災害・防犯対策特別委員会","04_特別","おうむもんだい・さいがい・ぼうはんたいさくとくべついいんかい"
"スポーツ・交流推進等特別委員会","04_特別","すぽーつ・こうりゅうすいしんなどとくべついいんかい"
"議会運営委員会","03_常任","ぎかいうんえいいいんかい"
"公共交通機関対策等特別委員会","04_特別","こうきょうこうつうきかんたいさくなどとくべついいんかい"
"地方分権・庁舎問題等対策特別委員会","04_特別","ちほうぶんけん・ちょうしゃもんだいなどたいさくとくべついいんかい"
"オリンピック・パラリンピック等特別委員会","04_特別","おりんぴっく・ぱらりんぴっくなどとくべついいんかい"
"災害・防犯・オウム問題対策等特別委員会","04_特別","さいがい・ぼうはん・おうむもんだいたいさくなどとくべついいんかい"
"決算特別委員会","02_予算/決算","けっさんとくべついいんかい"
"オリンピック・パラリンピック・環境対策等特別委員会","04_特別","おりんぴっく・ぱらりんぴっく・かんきょうたいさくなどとくべついいんかい"
"DX推進・公共施設整備等特別委員会","04_特別","DXすいしん・こうきょうしせつせいびなどとくべついいんかい"
"オウム問題・災害・防犯等対策特別委員会","04_特別","おうむもんだい・さいがい・ぼうはんなどたいさくとくべついいんかい"
"地方分権・地域行政制度対策等特別委員会","04_特別","ちほうぶんけん・ちいきぎょうせいせいどたいさくなどとくべついいんかい"
"環境・エネルギー問題対策特別委員会","04_特別","かんきょう・えねるぎーもんだいたいさくとくべついいんかい"
"企画総務・区民生活常任委員会連合審査会","05_その他","きかくそうむ・くみんせいかつじょうにんいいんかいれんごうしんさかい"
"福祉保健常任委員会","03_常任","ふくしほけんじょうにんいいんかい"
"文教常任委員会","03_常任","ぶんきょうじょうにんいいんかい"
"臨時会","05_その他","りんじかい"
